video_id,is_scripted,weather,time,PM_code
C000002_003_0009_C_D_F_0,0,F,D,17
C000002_012_0019_C_D_F_0,0,F,D,13
C000002_014_0304_C_D_F_0,0,F,D,13
C000002_017_0168_C_D_F_0,0,F,D,13
C000002_018_0135_C_D_F_0,0,F,D,17
C000002_018_0135_C_D_F_0,0,F,D,17
C000002_019_0096_C_D_F_0,0,F,D,13
C000002_019_0096_C_D_F_0,0,F,D,17
C000002_019_0096_C_D_F_0,0,F,D,17
C000002_021_0300_C_D_F_0,0,F,D,16
C000002_021_0300_C_D_F_0,0,F,D,17
C000002_021_0300_C_D_F_0,0,F,D,17
C000002_025_0162_C_D_F_0,0,F,D,13
C000002_025_0162_C_D_F_0,0,F,D,13
C000002_029_0225_C_D_F_0,0,F,D,13
C000002_030_0050_C_D_F_0,0,F,D,13
C000002_030_0050_C_D_F_0,0,F,D,13
C000002_030_0050_C_D_F_0,0,F,D,13
C000002_031_0057_C_D_F_0,0,F,D,13
C000002_033_0360_C_D_F_0,0,F,D,13
C000002_034_0270_C_D_F_0,0,F,D,13
C000002_035_0192_C_D_F_0,0,F,D,13
C000002_037_0117_C_D_F_0,0,F,D,17
C000002_037_0208_C_D_F_0,0,F,D,13
C000002_037_0208_C_D_F_0,0,F,D,17
C000002_039_0170_C_D_F_0,0,F,D,13
C000002_039_0170_C_D_F_0,0,F,D,17
C000002_042_0090_C_D_F_0,0,F,D,18
C000002_048_0247_C_D_F_0,0,F,D,13
C000002_049_0156_C_D_F_0,0,F,D,13
C000002_055_0066_C_D_F_0,0,F,D,13
C000002_058_0132_C_D_F_0,0,F,D,16
C000002_058_0132_C_D_F_0,0,F,D,16
C000002_058_0144_C_D_F_0,0,F,D,16
C000002_058_0144_C_D_F_0,0,F,D,16
C000002_059_0010_C_D_F_0,0,F,D,16
C000002_074_0060_C_D_F_0,0,F,D,13
C000002_075_0025_C_D_F_0,0,F,D,13
C000002_075_0250_C_D_F_0,0,F,D,13
C000002_075_0425_C_D_F_0,0,F,D,13
C000002_078_0240_C_D_F_0,0,F,D,13
C000002_127_0050_C_D_F_0,0,F,D,17
C000002_127_0120_C_D_F_0,0,F,D,13
C000002_132_0072_C_D_F_0,0,F,D,13
C000002_132_0072_C_D_F_0,0,F,D,17
C000002_135_0260_C_D_F_0,0,F,D,13
C000002_135_0260_C_D_F_0,0,F,D,13
C000002_135_0260_C_D_F_0,0,F,D,17
C000002_143_0030_C_D_F_0,0,F,D,17
C000002_143_0030_C_D_F_0,0,F,D,19
C000002_151_0360_C_D_F_0,0,F,D,18
C000002_151_0420_C_D_F_0,0,F,D,18
C000002_157_0015_C_D_F_0,0,F,D,13
C000002_157_0060_C_D_F_0,0,F,D,13
C000002_157_0060_C_D_F_0,0,F,D,13
C000002_167_0240_C_D_F_0,0,F,D,17
C000002_167_0240_C_D_F_0,0,F,D,17
C000002_167_0570_C_D_F_0,0,F,D,13
C000002_167_0570_C_D_F_0,0,F,D,13
C000002_168_0330_C_D_F_0,0,F,D,13
C000002_168_0330_C_D_F_0,0,F,D,13
C000002_180_0252_C_D_F_0,0,F,D,13
C000002_222_0096_C_D_F_0,0,F,D,13
C000002_233_0060_C_D_F_0,0,F,D,13
C000003_002_0204_C_N_F_0,0,F,N,13
C000003_020_0114_C_N_F_0,0,F,N,13
C000003_020_0152_C_N_F_0,0,F,N,13
C000003_024_0090_C_N_F_0,0,F,N,14
C000003_030_0390_C_N_F_0,0,F,N,18
C000003_030_0420_C_N_F_0,0,F,N,13
C000003_030_0420_C_N_F_0,0,F,N,18
C000003_031_0100_C_N_F_0,0,F,N,14
C000003_031_0100_C_N_F_0,0,F,N,18
C000003_034_0390_C_N_F_0,0,F,N,13
C000003_034_0390_C_N_F_0,0,F,N,18
